,precision,recall,f1-score,support
Cat,0.7519685039370079,0.7952810548230396,0.7730185497470489,1441.0
Dog,0.7827687776141384,0.7376821651630812,0.7595569846373705,1441.0
accuracy,0.7664816099930604,0.7664816099930604,0.7664816099930604,0.7664816099930604
macro avg,0.7673686407755731,0.7664816099930604,0.7662877671922097,2882.0
weighted avg,0.7673686407755731,0.7664816099930604,0.7662877671922097,2882.0
